id,location_id,terminal_id,vehicle_type_id,price
1,1,3,3,725
2,2,1,3,525
3,3,2,3,775
4,4,2,3,550
5,5,3,3,1000
6,6,2,3,725
7,7,3,3,725
8,8,1,3,650
9,9,4,3,1025
10,10,4,3,600
11,11,4,3,600
12,12,4,3,600
13,13,4,3,600
14,14,4,3,600
15,15,3,3,575
16,16,1,3,550
17,17,2,3,600
18,18,2,3,600
19,19,4,3,700
20,20,4,3,675
21,21,2,3,1600
22,22,2,3,775
23,23,2,3,675
24,24,4,3,600
25,25,2,3,675
26,26,4,3,525
27,27,2,3,800
28,28,2,3,875
29,29,2,3,875
30,30,4,3,575
31,31,2,3,725
32,32,2,3,725
33,33,4,3,650
34,34,3,3,1000
35,35,4,3,900
36,36,4,3,500
37,37,2,3,750
38,38,4,3,575
39,39,3,3,550
40,40,2,3,900
41,41,2,3,1050
42,42,1,3,650
43,43,2,3,675
44,44,3,3,575
45,45,3,3,575
46,46,4,3,700
47,47,2,3,925
48,48,2,3,775
49,49,3,3,975
50,50,3,3,975
51,51,3,3,975
52,52,2,3,925
53,53,2,3,825
54,54,4,3,650
55,55,4,3,900
56,56,3,3,750
57,57,2,3,625
58,58,4,3,600
59,59,3,3,775
60,60,2,3,850
61,61,2,3,900
62,62,2,3,625
63,63,1,3,650
64,64,1,3,575
65,65,2,3,650
66,66,4,3,650
67,67,3,3,575
68,68,4,3,625
69,69,2,3,500
70,70,4,3,575
71,71,4,3,750
72,72,2,3,900
73,73,2,3,650
74,74,2,3,575
75,75,2,3,575
76,76,1,3,650
77,77,3,3,500
78,78,4,3,900
79,79,2,3,950
80,80,4,3,675
81,81,4,3,500
82,82,4,3,500
83,83,4,3,925
84,84,2,3,1275
85,85,4,3,675
86,86,2,3,950
87,87,1,3,625
88,88,1,3,625
89,89,4,3,825
90,90,4,3,825
91,91,2,3,925
92,92,4,3,775
93,93,1,3,440
94,94,2,3,550
95,95,3,3,575
96,96,1,3,440
97,97,4,3,825
98,98,3,3,550
99,99,4,3,600
100,100,2,3,750
101,101,4,3,550
102,102,4,3,975
103,103,4,3,975
104,104,1,3,650
105,105,3,3,575
106,106,4,3,600
107,107,4,3,800
108,108,1,3,525
109,109,4,3,650
110,110,4,3,650
111,111,4,3,650
112,112,2,3,950
113,113,2,3,950
114,114,2,3,975
115,115,2,3,975
116,116,4,3,625
117,117,4,3,625
118,118,4,3,600
119,119,4,3,675
120,120,4,3,600
121,121,1,3,750
122,122,4,3,725
123,123,4,3,700
124,124,2,3,550
125,125,2,3,625
126,126,1,3,1200
127,127,4,3,600
128,128,3,3,725
129,129,4,3,600
130,130,4,3,600
131,131,4,3,600
132,132,2,3,900
133,133,2,3,530
134,134,2,3,530
135,135,1,3,600
136,136,1,3,630
137,137,2,3,725
138,138,2,3,750
139,139,2,3,750
140,140,2,3,750
141,141,1,3,750
142,142,4,3,625
143,143,4,3,625
144,144,4,3,600
145,145,4,3,600
146,146,1,3,490
147,147,1,3,825
148,148,1,3,725
149,149,2,3,675
150,150,2,3,700
151,151,2,3,775
152,152,1,3,650
153,153,1,3,750
154,154,3,3,575
155,155,1,3,525
156,156,1,3,650
157,157,4,3,300
158,158,2,3,575
159,159,2,3,600
160,160,3,3,600
161,161,4,3,900
162,162,1,3,650
163,163,2,3,475
164,164,2,3,650
165,165,4,3,875
166,166,4,3,600
167,167,3,3,800
168,168,2,3,1000
169,169,4,3,900
170,170,1,3,500
171,171,2,3,625
172,172,4,3,600
173,173,4,3,600
174,174,4,3,700
175,175,4,3,550
176,176,2,3,500
177,177,1,3,675
178,178,3,3,775
179,179,1,3,675
180,180,1,3,480
181,181,3,3,575
182,182,4,3,825
183,183,2,3,600
184,184,2,3,950
185,185,4,3,650
186,186,2,3,625
187,187,2,3,850
188,188,3,3,775
189,189,2,3,800
190,190,2,3,575
191,191,3,1,725
192,192,1,1,500
